director,movie_name,ranking,score,score_num,year
大卫·叶茨,哈利·波特与死亡圣器(下),108,8.8,483377,2011
李焕庆,7号房的礼物,109,8.9,332964,2013
今敏,红辣椒,110,9.0,251913,2006
理查德·林克莱特,爱在黎明破晓前,111,8.8,384482,1995
中岛哲也,告白,112,8.7,513354,2010
杨德昌,一一,113,9.0,235014,2000
近藤喜文,侧耳倾听,114,8.9,298487,1995
蒂姆·波顿,大鱼,115,8.8,393027,2003
姜炯哲,阳光姐妹淘,116,8.8,427989,2011
森淳一,小森林 冬春篇,117,9.0,236416,2015
刘镇伟,射雕英雄传之东成西就,118,8.7,436457,1993
克里斯托弗·诺兰,蝙蝠侠：黑暗骑士崛起,119,8.7,478931,2012
托尼·凯耶,超脱,120,8.9,300987,2011
陈可辛,甜蜜蜜,121,8.8,344608,1996
程小东,倩女幽魂,122,8.7,467562,1987
李力持,唐伯虎点秋香,123,8.6,658062,1993
迪恩·德布洛斯,驯龙高手,124,8.7,506309,2010
北野武,菊次郎的夏天,125,8.8,334866,1999
大森贵弘,萤火之森,126,8.8,315835,2011
金秉祐,恐怖直播,127,8.8,412004,2013
理查德·林克莱特,爱在日落黄昏时,128,8.8,330291,2004
史蒂文·斯皮尔伯格,幸福终点站,129,8.8,356722,2004
唐·霍尔,超能陆战队,130,8.7,652208,2014
是枝裕和,无人知晓,131,9.1,169395,2004
米林宏昌,借东西的小人阿莉埃蒂,132,8.8,354293,2010
皮艾尔·柯芬,神偷奶爸,133,8.6,655890,2010
宫崎骏,风之谷,134,8.9,267385,1984
彼特·道格特,怪兽电力公司,135,8.7,423144,2001
李·昂克里奇,玩具总动员3,136,8.8,329072,2010
费尔南多·梅里尔斯,上帝之城,137,8.9,218995,2002
梅尔·吉布森,血战钢锯岭,138,8.7,543356,2016
克林特·伊斯特伍德,完美的世界,139,9.1,156573,1993
詹姆斯·温,电锯惊魂,140,8.7,333000,2004
乔·怀特,傲慢与偏见,141,8.6,498446,2005
理查德·柯蒂斯,时空恋旅人,142,8.7,358401,2013
李安,喜宴,143,8.9,224959,1993
罗启锐,岁月神偷,144,8.7,433521,2010
保罗·格林格拉斯,谍影重重3,145,8.8,289992,2007
黑泽明,七武士,146,9.2,125054,1954
吴宇森,英雄本色,147,8.7,326804,1986
弗朗西斯·福特·科波拉,教父3,148,8.9,226558,1990
科克·德·米科,疯狂原始人,149,8.7,584156,2013
昆汀·塔伦蒂诺,被解救的姜戈,150,8.7,410988,2012
理查德·柯蒂斯,真爱至上,151,8.6,493463,2003
高畑勋,萤火虫之墓,152,8.7,303141,1988
马丁·麦克唐纳,三块广告牌,153,8.7,569199,2017
忻钰坤,心迷宫,154,8.7,322300,2014
达米恩·查泽雷,爆裂鼓手,155,8.7,370376,2014
吴宇森,纵横四海,156,8.8,265264,1991
严定宪,哪吒闹海,157,9.0,158843,1979
王家卫,东邪西毒,158,8.6,408636,1994
让-马克·瓦雷,达拉斯买家俱乐部,159,8.8,303351,2013
克里斯托弗·诺兰,记忆碎片,160,8.6,416150,2000
丹尼·鲍尔,贫民窟的百万富翁,161,8.6,541088,2008
杰茜·尼尔森,我是山姆,162,8.9,192073,2001
周星驰,功夫,163,8.5,593621,2004
达米安·斯兹弗隆,荒蛮故事,164,8.8,269722,2014
达伦·阿罗诺夫斯基,黑天鹅,165,8.6,604707,2010
王树忱,天书奇谭,166,9.2,124672,1983
史蒂文·斯皮尔伯格,头号玩家,167,8.7,950364,2018
王家卫,花样年华,168,8.6,379536,2000
新海诚,你的名字。,169,8.4,900812,2016
特瑞·乔治,卢旺达饭店,170,8.9,188988,2004
巴瑞·莱文森,雨人,171,8.7,294096,1988
彼特·道格特,头脑特工队,172,8.7,389827,2015
Seijirô,忠犬八公物语,173,9.1,119181,1987
汉内斯·赫尔姆,一个叫欧维的男人决定去死,174,8.8,235811,2015
莫滕·泰杜姆,模仿游戏,175,8.7,403774,2014
藤森雅也,你看起来好像很好吃,176,8.9,230084,2010
Andy,黑客帝国3：矩阵革命,177,8.7,272182,2003
瑞奇·莫尔,无敌破坏王,178,8.7,353972,2012
伏原健之,人生果实,179,9.5,71792,2017
今敏,未麻的部屋,180,8.9,172795,1997
延尚昊,釜山行,181,8.5,713549,2016
尼克·卡索维茨,恋恋笔记本,182,8.5,438673,2004
卡洛斯·沙尔丹哈,冰川时代,183,8.5,428132,2002
肯尼斯·罗纳根,海边的曼彻斯特,184,8.6,332107,2016
郭柯,二十二,185,8.7,198714,2015
杰拉尔·乌里,虎口脱险,186,8.9,158487,1966
是枝裕和,海街日记,187,8.8,254027,2015
斯坦利·多南,雨中曲,188,9.0,139434,1952
伦尼·阿伯拉罕森,房间,189,8.8,264298,2015
克里斯托弗·史密斯,恐怖游轮,190,8.5,525973,2009
史蒂文·斯皮尔伯格,人工智能,191,8.6,292931,2001
宫崎骏,魔女宅急便,192,8.6,313976,1989
Alfonso,哈利·波特与阿兹卡班的囚徒,193,8.6,342671,2004
阿尔弗雷德·希区柯克,惊魂记,194,8.9,150375,1960
雅克·贝汉,海洋,195,9.1,124701,2009
朴勋政,新世界,196,8.8,202136,2013
黑泽明,罗生门,197,8.8,203226,1950
爱德华·兹威克,燃情岁月,198,8.8,204108,1994
宁浩,疯狂的石头,199,8.4,531632,2006
斯蒂芬·卓博斯基,奇迹男孩,200,8.6,382659,2017
细田守,穿越时空的少女,201,8.6,279353,2006
Chris,哈利·波特与密室,202,8.5,361408,2002
茂文·勒鲁瓦,魂断蓝桥,203,8.8,185084,1940
詹姆斯·卡梅隆,终结者2：审判日,204,8.7,235000,1991
理查德·林克莱特,爱在午夜降临前,205,8.8,202614,2013
普特鹏·普罗萨卡·那·萨克那卡林,初恋这件小事,206,8.4,716206,2010
陆川,可可西里,207,8.8,195263,2004
保罗·格诺维瑟,完美陌生人,208,8.5,377520,2016
斯坦利·库布里克,2001太空漫游,209,8.8,183878,1968
杨德昌,牯岭街少年杀人事件,210,8.8,170775,1991
王家卫,阿飞正传,211,8.5,333885,1990
汤姆·提克威,香水,212,8.5,399206,2006
丹尼·博伊尔,猜火车,213,8.5,327865,1996
保罗·格林格拉斯,谍影重重2,214,8.6,245728,2004
Quentin,无耻混蛋,215,8.6,333479,2009
Frank,绿里奇迹,216,8.8,175532,1999
道格·里曼,谍影重重,217,8.6,293589,2002
安德鲁·尼科尔,战争之王,218,8.6,249052,2005
是枝裕和,小偷家族,219,8.7,536442,2018
李惠民,新龙门客栈,220,8.6,295571,1992
徐克,青蛇,221,8.5,341647,1993
阿米尔·汗,地球上的星星,222,8.9,138852,2007
邓肯·琼斯,源代码,223,8.4,570225,2011
